country,year,over
Chile,2011,10.4
Chile,2011,10.4
Chile,2011,10.4
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2020,NA
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.1
Chile,2013,10.2
Chile,2013,10.2
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2017,NA
NA,2025,NA
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.1
Chile,2015,10.2
Chile,2015,10.2
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2015,NA
NA,2016,NA
NA,2018,NA
NA,2024,NA
NA,2037,NA
China,2002,11
China,2013,14.8
China,2013,16.2
China,2013,20.2
Colombia,2004,11
Colombia,2004,11.2
Colombia,2004,11.7
Colombia,2004,12.7
Colombia,2004,13.8
Colombia,2004,13.9
Colombia,2004,15.2
NA,2015,NA
Colombia,2007,10.1
Colombia,2007,10.3
Colombia,2007,10.4
Colombia,2007,10.5
Colombia,2007,10.6
Colombia,2007,10.7
Colombia,2007,10.8
NA,2010,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2019,NA
NA,2039,NA
Colombia,2010,10.2
Colombia,2010,10.2
Colombia,2010,10.5
Colombia,2010,10.6
Colombia,2010,10.8
Colombia,2010,10.8
Colombia,2010,11.2
NA,2011,NA
NA,2014,NA
NA,2018,NA
Colombia,2013,10.1
Colombia,2013,10.3
Colombia,2013,10.6
Colombia,2013,10.8
Colombia,2013,11.1
Colombia,2013,11.5
Colombia,2013,11.6
NA,2011,NA
NA,2015,NA
Czech Republic,1992,NA
Czech Republic,1996,10.6
Czech Republic,1996,12.3
Czech Republic,1996,15.5
Czech Republic,1996,18.4
Czech Republic,2002,12.9
Czech Republic,2004,13.7
Czech Republic,2007,10.2
Czech Republic,2010,NA
Czech Republic,2013,11
Czech Republic,2013,12.7
Denmark,1987,NA
Denmark,1992,12
Denmark,1992,20.9
Denmark,1992,22.5
Denmark,1995,10.5
Denmark,1995,11.2
Denmark,1995,13.6
Denmark,1995,13.7
Denmark,1995,14.4
Denmark,1995,14.8
Denmark,1995,18.6
NA,2019,NA
NA,1958,NA
Denmark,2000,11
Denmark,2000,11.1
Denmark,2000,12.3
Denmark,2000,13.1
Denmark,2000,13.5
Denmark,2000,22.1
Denmark,2000,23.3
NA,2036,NA
Denmark,2004,10.1
Denmark,2004,10.8
Denmark,2004,11
Denmark,2004,11.3
Denmark,2004,11.8
Denmark,2004,11.9
Denmark,2004,13.6
NA,2013,NA
NA,2047,NA
Denmark,2007,10.1
Denmark,2007,10.1
Denmark,2007,10.2
Denmark,2007,10.3
Denmark,2007,10.5
Denmark,2007,10.7
Denmark,2007,10.7
NA,2010,NA
NA,2016,NA
NA,2026,NA
Denmark,2010,10.2
Denmark,2010,10.5
Denmark,2010,10.5
Denmark,2010,10.6
Denmark,2010,10.7
Denmark,2010,10.7
Denmark,2010,11.2
NA,2011,NA
NA,2015,NA
NA,2019,NA
NA,2045,NA
Denmark,2013,10.4
Denmark,2013,10.6
Denmark,2013,11.1
Denmark,2013,11.2
Denmark,2013,11.4
Denmark,2013,12
Denmark,2013,12
NA,2012,NA
NA,2014,NA
NA,2029,NA
Dominican Republic,2007,10.4
Dominican Republic,2007,10.4
Dominican Republic,2007,10.6
Dominican Republic,2007,11.3
Dominican Republic,2007,11.4
Dominican Republic,2007,15.1
Dominican Republic,2007,16.1
NA,2017,NA
Egypt,2012,10.1
Egypt,2012,10.1
Egypt,2012,10.1
Egypt,2012,10.3
Egypt,2012,10.4
Egypt,2012,10.7
Egypt,2012,10.7
NA,2010,NA
NA,2012,NA
NA,2016,NA
NA,2026,NA
NA,2049,NA
Estonia,2000,10.5
Estonia,2000,12.1
Estonia,2000,12.5
Estonia,2004,NA
Estonia,2007,NA
Estonia,2010,NA
Estonia,2013,NA
Finland,1987,16.1
Finland,1991,NA
Finland,1995,10.7
Finland,1995,13.3
Finland,1995,17.2
Finland,2000,11.4
Finland,2000,13.6
Finland,2000,16.3
Finland,2000,70.6
Finland,2000,132
Finland,2004,10.3
Finland,2004,10.5
Finland,2004,11
Finland,2004,21.9
Finland,2004,23.3
Finland,2004,25.2
Finland,2004,26.1
NA,2039,NA
Finland,2007,10.5
Finland,2007,12.5
Finland,2007,13.3
Finland,2007,15.4
Finland,2007,16
Finland,2007,17.5
Finland,2007,20
Finland,2010,12.8
Finland,2010,14.1
Finland,2010,26
Finland,2010,30.2
Finland,2010,67.4
Finland,2013,16.1
Finland,2013,33.2
Finland,2013,52.8
France,1978,11.1
France,1978,12.9
France,1978,13.7
France,1978,19.5
France,1978,26.4
France,1984,10.4
France,1984,11.1
France,1984,11.2
France,1984,11.3
France,1984,11.5
France,1984,11.5
France,1984,11.5
NA,2011,NA
France,1989,14.8
France,1994,10.3
France,1994,14.2
France,1994,15.2
France,1994,15.3
France,2000,16.7
France,2005,NA
France,2010,43.1
Germany,1973,NA
Germany,1978,14.4
Germany,1978,16.8
Germany,1981,NA
Germany,1983,20.6
Germany,1984,10.8
Germany,1987,NA
Germany,1989,NA
Germany,1991,NA
Germany,1994,NA
Germany,1995,NA
Germany,1998,NA
Germany,2000,NA
Germany,2001,10.6
Germany,2001,10.8
Germany,2001,10.9
Germany,2001,12.3
Germany,2001,14
Germany,2001,17.6
Germany,2001,20
NA,2027,NA
Germany,2002,12.1
Germany,2002,13.1
Germany,2002,17.8
Germany,2002,18.1
Germany,2003,11.4
Germany,2003,12.4
Germany,2003,15.4
Germany,2003,18.4
Germany,2003,18.6
Germany,2003,20.4
Germany,2003,36.8
NA,1960,NA
Germany,2004,10.5
Germany,2004,13.8
Germany,2004,16.7
Germany,2004,20.3
Germany,2004,25.9
Germany,2004,72.7
Germany,2005,10.6
Germany,2005,10.9
Germany,2005,11.3
Germany,2005,13.1
Germany,2005,13.7
Germany,2005,14.2
Germany,2005,17.8
NA,2019,NA
Germany,2006,10.1
Germany,2006,10.3
Germany,2006,10.8
Germany,2006,11.8
Germany,2006,12
Germany,2006,14.7
Germany,2006,15.7
NA,2025,NA
Germany,2007,10.4
Germany,2007,11
Germany,2007,11.8
Germany,2007,12
Germany,2007,12.8
Germany,2007,13
Germany,2007,14.7
NA,2015,NA
Germany,2008,10.4
Germany,2008,10.9
Germany,2008,11.9
Germany,2008,14.7
Germany,2008,15.7
Germany,2008,18.8
Germany,2008,30.6
Germany,2009,11.6
Germany,2009,26.6
Germany,2010,10.4
Germany,2010,13.3
Germany,2010,15.5
Germany,2010,20
Germany,2011,12.2
Germany,2011,12.4
Germany,2011,12.6
Germany,2011,14.6
Germany,2011,31.3
Germany,2012,10.6
Germany,2012,11.4
Germany,2012,13.1
Germany,2012,15.9
Germany,2012,21.4
Germany,2013,11.7
Germany,2013,12.5
Germany,2013,14.4
Germany,2013,15
Germany,2013,26
Germany,2013,34.4
Germany,2014,11.1
Germany,2014,14.7
Germany,2014,25.7
Germany,2014,26.4
Germany,2015,10.3
Germany,2015,10.6
Germany,2015,16.8
Germany,2015,21.2
Germany,2015,28.1
Germany,2015,36.8
Georgia,2010,11.2
Georgia,2010,11.8
Georgia,2010,11.9
Georgia,2010,13.4
Georgia,2013,NA
Georgia,2016,NA
Greece,1995,NA
Greece,2000,NA
Greece,2004,NA
Greece,2007,29.2
Greece,2007,31.7
Greece,2010,NA
Greece,2013,NA
Guatemala,2006,10.2
Guatemala,2006,11
Guatemala,2006,11.5
Guatemala,2006,12.9
Guatemala,2006,12.9
Guatemala,2006,12.9
Guatemala,2006,13.1
NA,2013,NA
NA,2043,NA
Guatemala,2011,10.8
Guatemala,2011,10.8
Guatemala,2011,11.6
Guatemala,2011,11.6
Guatemala,2011,12.2
Guatemala,2011,12.2
Guatemala,2011,13.1
NA,2013,NA
NA,2025,NA
Guatemala,2014,10.1
Guatemala,2014,10.1
Guatemala,2014,10.3
Guatemala,2014,11.3
Guatemala,2014,12.1
Guatemala,2014,12.1
Guatemala,2014,12.5
NA,2014,NA
NA,2021,NA
Hungary,1991,NA
Hungary,1994,15.7
Hungary,1999,NA
Hungary,2005,14.3
Hungary,2007,NA
Hungary,2009,NA
Hungary,2012,NA
Hungary,2015,NA
Iceland,2004,14.1
Iceland,2007,10.5
Iceland,2007,11.2
Iceland,2010,NA
India,2004,10.1
India,2004,10.1
India,2004,10.1
India,2004,10.1
India,2004,10.1
India,2004,10.1
India,2004,10.2
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2015,NA
NA,2019,NA
NA,2028,NA
India,2011,10.1
India,2011,10.2
India,2011,10.2
India,2011,10.2
India,2011,10.2
India,2011,10.2
India,2011,10.3
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2015,NA
NA,2017,NA
NA,2019,NA
NA,2027,NA
Ireland,1987,NA
Ireland,1994,53.5
Ireland,1995,10.2
Ireland,1995,12.2
Ireland,1995,73.2
Ireland,1996,12.1
Ireland,1996,96.8
Ireland,2000,NA
Ireland,2004,13.3
Ireland,2004,13.5
Ireland,2004,14.4
Ireland,2004,14.6
Ireland,2007,12.4
Ireland,2010,NA
Israel,1979,13.5
Israel,1986,13.8
Israel,1992,10.8
Israel,1997,10.8
Israel,1997,13
Israel,2001,15.9
Israel,2001,16.8
Israel,2001,20.3
Israel,2005,14.2
Israel,2005,17.9
Israel,2005,18
Israel,2007,NA
Israel,2010,11.3
Israel,2010,12.7
Israel,2010,13
Israel,2010,21.1
Israel,2010,42.8
Israel,2010,48
Israel,2012,10.3
Israel,2014,NA
Israel,2016,NA
Italy,1986,11.2
Italy,1986,18.8
Italy,1986,18.8
Italy,1987,NA
Italy,1989,11.2
Italy,1991,NA
Italy,1993,10.5
Italy,1995,11.6
Italy,1995,11.9
Italy,1998,13
Italy,1998,15.1
Italy,1998,23.7
Italy,2000,10.4
Italy,2000,10.4
Italy,2000,13.4
Italy,2000,15.2
Italy,2000,16.7
Italy,2004,10.8
Italy,2004,11.4
Italy,2004,11.8
Italy,2004,12.6
Italy,2004,12.6
Italy,2004,13
Italy,2004,26.3
NA,2037,NA
Italy,2008,12.9
Italy,2008,13.4
Italy,2008,15.1
Italy,2010,10.8
Italy,2010,18.8
Italy,2014,12.4
Japan,2008,NA
Lithuania,2010,NA
Lithuania,2013,NA
Luxembourg,1985,NA
Luxembourg,1991,NA
Luxembourg,1994,NA
Luxembourg,1997,NA
Luxembourg,2000,NA
Luxembourg,2004,10.1
Luxembourg,2007,10.32
Luxembourg,2010,NA
Luxembourg,2013,NA
Mexico,1984,10.1
Mexico,1984,10.3
Mexico,1984,13.2
Mexico,1984,29.8
Mexico,1989,10.1
Mexico,1989,10.3
Mexico,1989,10.4
Mexico,1989,10.5
Mexico,1989,10.5
Mexico,1989,11.7
Mexico,1989,11.8
NA,2012,NA
NA,2025,NA
Mexico,1992,10.1
Mexico,1992,10.7
Mexico,1992,11
Mexico,1992,11.4
Mexico,1992,11.4
Mexico,1992,12.2
Mexico,1992,13.4
NA,2014,NA
NA,2033,NA
Mexico,1994,10.3
Mexico,1994,10.6
Mexico,1994,10.9
Mexico,1994,11.4
Mexico,1994,11.6
Mexico,1994,11.7
Mexico,1994,11.9
NA,2012,NA
NA,2016,NA
Mexico,1996,11.8
Mexico,1996,11.9
Mexico,1996,12.1
Mexico,1996,12.5
Mexico,1996,13.2
Mexico,1996,13.4
Mexico,1996,14.2
NA,2014,NA
Mexico,1998,10.1
Mexico,1998,10.3
Mexico,1998,11
Mexico,1998,11.3
Mexico,1998,11.8
Mexico,1998,12.2
Mexico,1998,13
NA,2015,NA
NA,1951,NA
Mexico,2000,10.5
Mexico,2000,10.5
Mexico,2000,10.6
Mexico,2000,10.8
Mexico,2000,11.1
Mexico,2000,11.2
Mexico,2000,11.2
NA,2011,NA
NA,2017,NA
Mexico,2002,10.1
Mexico,2002,10.2
Mexico,2002,10.9
Mexico,2002,11
Mexico,2002,11.6
Mexico,2002,12.3
Mexico,2002,12.3
NA,2012,NA
Mexico,2004,10.5
Mexico,2004,10.5
Mexico,2004,10.5
Mexico,2004,10.7
Mexico,2004,10.7
Mexico,2004,11.3
Mexico,2004,11.5
NA,2011,NA
NA,2012,NA
NA,2017,NA
NA,2025,NA
Mexico,2008,10.2
Mexico,2008,10.4
Mexico,2008,10.5
Mexico,2008,10.5
Mexico,2008,10.6
Mexico,2008,10.6
Mexico,2008,10.7
NA,2010,NA
NA,2011,NA
NA,2012,NA
NA,2014,NA
NA,2014,NA
NA,2018,NA
NA,2023,NA
NA,2034,NA
Mexico,2010,10.4
Mexico,2010,10.7
Mexico,2010,10.8
Mexico,2010,11
Mexico,2010,11.2
Mexico,2010,11.2
Mexico,2010,11.3
NA,2012,NA
NA,2013,NA
NA,2019,NA
Mexico,2012,10.5
Mexico,2012,10.5
Mexico,2012,11.1
Mexico,2012,11.3
Mexico,2012,11.3
Mexico,2012,12.1
Mexico,2012,12.1
NA,2012,NA
Netherlands,1983,NA
Netherlands,1987,NA
Netherlands,1990,15.2
Netherlands,1993,NA
Netherlands,1999,NA
Netherlands,2004,10.6
Netherlands,2004,15.2
Netherlands,2007,14.6
Netherlands,2007,17.2
Netherlands,2007,22.5
Netherlands,2010,12.7
Netherlands,2010,24.6
Netherlands,2013,10.2
Netherlands,2013,11.2
Netherlands,2013,12
Norway,1979,10.1
Norway,1979,10.1
Norway,1979,10.1
Norway,1979,10.4
Norway,1979,10.7
Norway,1979,10.8
Norway,1979,10.8
NA,2010,NA
NA,2011,NA
NA,2013,NA
NA,2016,NA
NA,2019,NA
NA,2027,NA
NA,2010,NA
Norway,1986,NA
Norway,1991,10.2
Norway,1991,11.3
Norway,1991,14.8
Norway,1995,11.4
Norway,1995,16.4
Norway,1995,20.3
Norway,1995,36.1
Norway,1995,37.8
Norway,2000,10.3
Norway,2000,10.4
Norway,2000,10.5
Norway,2000,10.7
Norway,2000,10.7
Norway,2000,11.2
Norway,2000,11.6
NA,2012,NA
NA,2025,NA
Norway,2004,10.8
Norway,2004,12.4
Norway,2004,13.2
Norway,2004,13.3
Norway,2004,15.8
Norway,2004,23.7
Norway,2004,23.9
NA,2030,NA
Norway,2007,10.2
Norway,2007,10.2
Norway,2007,10.2
Norway,2007,10.5
Norway,2007,10.8
Norway,2007,10.8
Norway,2007,11
NA,2011,NA
NA,2012,NA
NA,2014,NA
NA,2016,NA
NA,2026,NA
Norway,2010,10.1
Norway,2010,10.2
Norway,2010,10.2
Norway,2010,10.3
Norway,2010,10.7
Norway,2010,10.7
Norway,2010,10.9
NA,2010,NA
NA,2012,NA
NA,2013,NA
NA,2018,NA
NA,2020,NA
NA,2022,NA
NA,2025,NA
NA,2029,NA
NA,2031,NA
NA,2033,NA
NA,2034,NA
NA,2037,NA
NA,2038,NA
NA,2039,NA
NA,2044,NA
NA,2044,NA
NA,2047,NA
NA,1953,NA
NA,1955,NA
NA,1975,NA
Norway,2013,10.1
Norway,2013,10.1
Norway,2013,10.1
Norway,2013,10.1
Norway,2013,10.2
Norway,2013,10.2
Norway,2013,10.3
NA,2010,NA
NA,2010,NA
NA,2011,NA
NA,2011,NA
NA,2011,NA
NA,2012,NA
NA,2012,NA
NA,2013,NA
NA,2013,NA
NA,2013,NA
NA,2014,NA
NA,2015,NA
NA,2015,NA
NA,2016,NA
NA,2017,NA
NA,2018,NA
NA,2019,NA
NA,2020,NA
NA,2021,NA
NA,2021,NA
NA,2021,NA
NA,2022,NA
NA,2024,NA
NA,2025,NA
NA,2026,NA
NA,2028,NA
NA,2029,NA
NA,2029,NA
NA,2031,NA
NA,2033,NA
NA,2039,NA
NA,1955,NA
NA,1955,NA
Panama,2007,10.8
Panama,2007,10.9
Panama,2007,11.8
Panama,2007,11.8
Panama,2007,13
Panama,2007,13.7
Panama,2007,14.7
NA,2015,NA
Panama,2010,10.5
Panama,2010,11
Panama,2010,11.1
Panama,2010,11.4
Panama,2010,15.3
Panama,2010,16.5
Panama,2010,21.1
NA,2021,NA
Panama,2013,10.1
Panama,2013,10.2
Panama,2013,11.4
Panama,2013,12.8
Panama,2013,13.1
Panama,2013,14.4
Panama,2013,18.7
NA,2030,NA
Paraguay,2000,10.3
Paraguay,2000,10.4
Paraguay,2000,10.5
Paraguay,2000,10.6
Paraguay,2000,10.6
Paraguay,2000,10.8
Paraguay,2000,11.1
NA,2011,NA
NA,2015,NA
NA,1961,NA
Paraguay,2004,10.2
Paraguay,2004,10.5
Paraguay,2004,10.6
Paraguay,2004,11.3
Paraguay,2004,11.5
Paraguay,2004,11.5
Paraguay,2004,11.6
NA,2011,NA
NA,2019,NA
NA,2038,NA
Paraguay,2007,10.4
Paraguay,2007,12
Paraguay,2007,12.1
Paraguay,2007,13.2
Paraguay,2007,13.9
Paraguay,2007,14.5
Paraguay,2007,16.1
NA,2018,NA
Paraguay,2010,10.3
Paraguay,2010,10.5
Paraguay,2010,10.9
Paraguay,2010,10.9
Paraguay,2010,11
Paraguay,2010,11.4
Paraguay,2010,12.2
NA,2012,NA
NA,2024,NA
Paraguay,2013,10.4
Paraguay,2013,10.6
Paraguay,2013,10.8
Paraguay,2013,10.8
Paraguay,2013,10.9
Paraguay,2013,11
Paraguay,2013,11
NA,2011,NA
Paraguay,2016,10.1
Paraguay,2016,10.3
Paraguay,2016,10.4
Paraguay,2016,10.7
Paraguay,2016,10.8
Paraguay,2016,10.9
Paraguay,2016,11.2
NA,2011,NA
NA,2013,NA
NA,2021,NA
Peru,2004,10.2
Peru,2004,10.4
Peru,2004,10.4
Peru,2004,10.7
Peru,2004,11.9
Peru,2004,12.5
Peru,2004,13.4
NA,2013,NA
Peru,2007,10.2
Peru,2007,10.2
Peru,2007,10.4
Peru,2007,10.5
Peru,2007,10.9
Peru,2007,11.1
Peru,2007,11.2
NA,2011,NA
NA,2015,NA
NA,2026,NA
Peru,2010,10.4
Peru,2010,10.8
Peru,2010,11
Peru,2010,11.1
Peru,2010,11.7
Peru,2010,12.5
Peru,2010,13.8
NA,2015,NA
Peru,2013,10.1
Peru,2013,10.1
Peru,2013,10.5
Peru,2013,11.1
Peru,2013,11.1
Peru,2013,12.8
Peru,2013,13
NA,2015,NA
Poland,1986,NA
Poland,1992,NA
Poland,1995,11.1
Poland,1995,11.3
Poland,1995,11.8
Poland,1995,11.9
Poland,1995,12.2
Poland,1995,12.5
Poland,1995,14.2
NA,2017,NA
Poland,1999,12.2
Poland,1999,13.5
Poland,1999,14.3
Poland,1999,63.4
Poland,2004,10.4
Poland,2004,10.8
Poland,2004,11.2
Poland,2004,13.4
Poland,2004,16.7
Poland,2004,24.4
Poland,2007,12
Poland,2007,12.8
Poland,2007,16
Poland,2007,18.7
Poland,2007,19.2
Poland,2007,19.3
Poland,2007,22.7
NA,2033,NA
Poland,2010,10.3
Poland,2010,10.8
Poland,2010,11.3
Poland,2010,13.2
Poland,2010,14
Poland,2010,15.2
Poland,2010,16.6
NA,2018,NA
Poland,2013,10.1
Poland,2013,10.5
Poland,2013,11
Poland,2013,11.1
Poland,2013,11.4
Poland,2013,12.9
Poland,2013,13.5
NA,2019,NA
Poland,2016,11.6
Poland,2016,94
Romania,1995,11.2
Romania,1995,11.5
Romania,1995,12.1
Romania,1995,13
Romania,1995,13.2
Romania,1995,13.5
Romania,1995,14.2
NA,2015,NA
NA,1969,NA
Romania,1997,11.6
Romania,1997,11.8
Romania,1997,12
Romania,1997,12.3
Romania,1997,12.4
Romania,1997,15.1
Romania,1997,35.6
Russia,2000,11
Russia,2000,11.1
Russia,2000,15.7
Russia,2000,18.1
Russia,2000,20.4
Russia,2000,40.2
Russia,2004,11.2
Russia,2007,NA
Russia,2010,11.9
Russia,2010,22.3
Russia,2011,17.4
Russia,2013,NA
Russia,2014,NA
Russia,2015,NA
Russia,2016,12.3
Serbia,2006,NA
Serbia,2010,NA
Serbia,2013,11.9
Serbia,2013,14.1
Serbia,2016,NA
Slovakia,1992,NA
Slovakia,1996,NA
Slovakia,2004,NA
Slovakia,2007,NA
Slovakia,2010,29.7
Slovakia,2013,14
Slovenia,1997,NA
Slovenia,1999,NA
Slovenia,2004,NA
Slovenia,2007,NA
Slovenia,2010,NA
Slovenia,2012,NA
South Africa,2008,10.3
South Africa,2008,10.3
South Africa,2008,10.4
South Africa,2008,10.5
South Africa,2008,10.5
South Africa,2008,10.6
South Africa,2008,10.6
NA,2010,NA
NA,2011,NA
NA,2012,NA
NA,2013,NA
NA,2014,NA
NA,2017,NA
NA,2022,NA
NA,2031,NA
South Africa,2010,10.1
South Africa,2010,10.2
South Africa,2010,10.2
South Africa,2010,10.4
South Africa,2010,11.2
South Africa,2010,11.3
South Africa,2010,11.5
NA,2011,NA
NA,2014,NA
NA,2033,NA
South Africa,2012,10.1
South Africa,2012,10.3
South Africa,2012,10.4
South Africa,2012,10.5
South Africa,2012,11.3
South Africa,2012,11.4
South Africa,2012,11.4
NA,2012,NA
NA,2015,NA
NA,2033,NA
Korea,2006,11.7
Korea,2008,13.1
Korea,2010,17.7
Korea,2012,13
Spain,1980,20.9
Spain,1985,NA
